,Unnamed: 0,Team/Year,eFGPct,TOPct,ORPct,FTRate
56,56,2025 Colorado,51.2336160370085,21.3730520930303,28.2749675745785,36.3145720894372
57,57,2025 Colorado St.,53.2624633431085,17.4679156837147,26.7515923566879,29.9120234604106
58,58,2025 Columbia,54.8983364140481,16.1819887429644,28.006589785832,30.7763401109057
59,59,2025 Connecticut,56.3991323210412,16.5732849945854,33.5113484646195,30.6579898770788
60,60,2025 Coppin St.,42.2300263388938,21.5344135161335,26.6922094508301,37.5768217734855
61,61,2025 Cornell,59.1123701605288,17.6189228784042,25.9391771019678,30.028328611898
62,62,2025 Creighton,56.0530085959885,18.3006153801178,25.1275510204082,30.0143266475645
63,63,2025 Dartmouth,50.467726847521,16.5444196407,23.0293663060278,32.1796071094481
64,64,2025 Davidson,53.6121673003802,14.1043723554302,25.5689424364123,29.7338403041825
65,65,2025 Dayton,53.665910808768,15.4903303501854,29.6875,38.3219954648526
66,66,2025 DePaul,52.2945205479452,18.6151378069402,29.3706293706294,28.972602739726
67,67,2025 Delaware,53.6876355748373,16.8193688310539,22.4874371859296,31.4533622559653
68,68,2025 Delaware St.,47.0802919708029,17.7096903742739,32.383808095952,33.3029197080292
69,69,2025 Denver,50.1822157434402,18.1675098369871,25.8221680876979,31.3411078717201
70,70,2025 Detroit Mercy,44.5807770961145,18.6812944727161,31.7256162915327,28.9706884798909
71,71,2025 Drake,55.4137323943662,19.3641054740837,36.0629921259843,43.4859154929577
72,72,2025 Drexel,51.5037593984962,18.8700710661438,33.3333333333333,22.9665071770335
73,73,2025 Duke,56.47016534867,15.156060055888,34.3302990897269,32.4946081955428
74,74,2025 Duquesne,48.9171023151606,17.6394035096445,33.134684147795,28.3047050037341
75,75,2025 East Carolina,47.8731074260995,15.9130172919341,34.6198830409357,36.6258111031002
76,76,2025 East Tennessee St.,49.344375431332,15.9320067115146,36.8008948545861,31.6770186335404
77,77,2025 East Texas A&M,49.2732558139535,23.6143766434478,28.9473684210526,27.7616279069767
78,78,2025 Eastern Illinois,43.5703479576399,18.3744107419632,29.2517006802721,32.375189107413
79,79,2025 Eastern Kentucky,49.7733160621762,13.8163059324885,32.4064171122995,26.9430051813472
80,80,2025 Eastern Michigan,51.6500383729854,18.8702902639333,28.7917737789203,34.0752110514198
81,81,2025 Eastern Washington,51.0835913312693,18.9253981691734,27.8600269179004,31.2693498452012
82,82,2025 Elon,48.9489489489489,18.754884084397,36.9458128078818,39.8648648648649
83,83,2025 Evansville,48.3248361252731,17.7368976907578,23.5225955967555,30.7356154406409
84,84,2025 FIU,47.98356982823,20.0073646741132,32.360097323601,35.4742345033607
85,85,2025 Fairfield,45.3371592539455,15.2938570221285,31.3835770528684,27.0444763271162
86,86,2025 Fairleigh Dickinson,49.591381872214,16.7178703429347,26.4492753623188,32.1693907875186
87,87,2025 Florida,54.00390625,15.5572972893036,38.7755102040816,31.640625
88,88,2025 Florida A&M,48.9516864175023,22.4002601320531,29.2753623188406,33.7283500455788
89,89,2025 Florida Atlantic,54.1725601131542,16.0870879951618,29.8288508557457,31.8246110325318
90,90,2025 Florida Gulf Coast,54.2273042273042,16.3719111762729,28.3018867924528,22.2453222453222
91,91,2025 Florida St.,51.3252148997135,17.4729906425999,30.5352798053528,39.8997134670487
92,92,2025 Fordham,49.7124370956147,18.7248611921192,30.8771929824561,32.7102803738318
93,93,2025 Fresno St.,46.542726679713,17.8229913904752,26.4056224899598,36.986301369863
94,94,2025 Furman,52.5037936267071,16.7612736618998,31.125,33.1562974203338
