seed,Team/Year,AdjTempo,AdjOE,AdjDE,AdjEM,OppeFGPct,OppTOPct,OppORPct,OppFTRate,eFGPct,TOPct,ORPct,FTRate
11.0,2003 Southern Illinois,67.6276,110.795,98.9527,11.8425,50.4799,23.4895,33.2528,37.6725,52.3611,18.2278,32.0397,33.5
4.0,2003 Stanford,65.4887,109.838,94.9404,14.8974,45.5775,18.671,32.3299,34.9636,50.2078,20.7407,38.8144,35.1169
3.0,2003 Syracuse,70.5221,113.951,93.9947,19.9564,44.2743,20.3798,36.6417,29.9601,51.8639,19.3962,38.4796,37.5583
1.0,2003 Texas,69.0435,118.524,95.1369,23.3866,46.6123,19.4784,32.5865,36.0163,49.3431,18.3702,41.5476,39.8054
16.0,2003 Texas Southern,68.023,98.706,108.445,-9.73895,49.0933,19.4762,32.0705,31.4667,50.2904,21.3289,36.2254,50.6969
14.0,2003 Troy St.,70.603,107.4,101.103,6.29692,48.2086,24.3072,36.0372,30.0,50.2966,18.5957,37.7481,29.2635
13.0,2003 Tulsa,67.3935,107.114,95.67,11.4437,44.6134,20.3429,33.2013,32.1134,52.3367,20.4747,33.6355,32.8731
16.0,2003 UNC Asheville,67.655,100.943,114.311,-13.3682,51.9504,18.1581,37.4401,37.1639,48.5939,22.3344,34.1586,36.2767
11.0,2003 UNC Wilmington,64.3593,108.916,94.4886,14.4278,45.9593,25.2996,33.2072,34.67,52.0321,17.093,29.7505,32.7418
9.0,2003 Utah,61.9372,107.925,93.0806,14.8447,45.9631,20.2343,29.7533,44.3738,51.87,20.5341,32.5488,36.6646
15.0,2003 Utah St.,61.232,106.86,100.121,6.73911,49.2063,20.0913,28.5049,29.0159,49.4727,20.3542,39.5313,38.2754
16.0,2003 Vermont,64.3012,101.723,99.8857,1.8376,47.9254,19.7767,28.0545,28.202,48.7493,21.4373,37.0424,34.3061
15.0,2003 Wagner,67.6016,104.796,105.842,-1.04621,51.8549,21.7925,32.6336,30.551,53.1539,21.5246,35.7479,33.4965
2.0,2003 Wake Forest,67.6965,115.774,94.9376,20.8361,45.8085,19.481,31.3887,31.8551,50.6468,21.8243,42.7903,45.7255
12.0,2003 Weber St.,66.2827,111.03,102.287,8.7425,51.6318,23.116,30.9917,31.6502,52.0574,18.4236,33.5051,47.3815
13.0,2003 Western Kentucky,67.5481,108.073,96.5019,11.5715,47.5154,22.7888,33.1683,33.8358,52.6831,21.9717,36.679,37.2834
